TIPO,CATEGORIAS,CLASIFICACION,DETALLE CLASIFICACION
EGRESO,TECNOLOGIA,SOFTWARE,Software Interfuerza
EGRESO,TECNOLOGIA,SOFTWARE,Otros gastos por tecnologia
EGRESO,COMPRA DE BIENES,EQUIPOS DE TECNOLOGIA,Equipos de tecnologia
EGRESO,COMPRA DE BIENES,EQUIPOS DE TECNOLOGIA,Camaras
EGRESO,COMPRA DE BIENES,MAQUINARIAS Y EQUIPOS,Maquinas y equipos
EGRESO,COMPRA DE BIENES,MOBILIARIOS,Muebles
EGRESO,COMPRA DE BIENES,MOBILIARIOS,Otros bienes mobiliarios
EGRESO,OTROS EGRESOS,BANCARIOS,Comision bancaria
EGRESO,OTROS EGRESOS,BANCARIOS,Comision por transferencia internacinal
EGRESO,OTROS EGRESOS,BANCARIOS,Transferencia entre cuentas
EGRESO,OTROS EGRESOS,SEGUROS,Poliza de seguro
EGRESO,OTROS EGRESOS,COMISIONES,Otras comisiones
EGRESO,OTROS EGRESOS,EFECTIVO,Caja menuda
EGRESO,OTROS EGRESOS,EGRESOS NO IDENTIFICADOS,Egresos no identificados
EGRESO,OTROS EGRESOS,DEVOLUCIONES,Egresos por devoluciones
INGRESO,GASTO COMUN,INGRESO POR CUOTA DE GASTO COMUN,Cuota de mantenimiento ordinaria
INGRESO,GASTO COMUN,INGRESO POR CUOTA DE GASTO COMUN,Cuota de mantenimiento extraordinaria
INGRESO,GASTO COMUN,INGRESO POR MORA,Cargo por mora
INGRESO,GASTO COMUN,INGRESO POR MULTAS,Cargo por multas
INGRESO,GASTO COMUN,INGRESO POR RESERVAS,Cargo por reserva de espacios comunes
INGRESO,GASTO COMUN,INGRESOS NO RECONOCIDOS,Ingreso no identificados
INGRESO,GASTO COMUN,INGRESO POR TRANSFERENCIA ENTRE CUENTAS,Transferencia entre cuentas
INGRESO,GASTO COMUN,OTROS INGRESOS,Ingresos por reversas por rechazos
INGRESO,FONDO DE RESERVAS,OTROS INGRESOS,Ingresos por mudanzas
INGRESO,FONDO DE RESERVAS,OTROS INGRESOS,Cuota semilla
INGRESO,FONDO DE RESERVAS,OTROS INGRESOS,Ingreso por compra de token
INGRESO,FONDO DE RESERVAS,OTROS INGRESOS,Ingreso por compra de stickers
INGRESO,FONDO DE RESERVAS,OTROS INGRESOS,Otros ingresos
